nom,parent,value,primary-role,secondary-role,engagement-type,sec-engagement-type,public-private,Institutional Focus,node-color
UK Book Publishing,,1,Distributor,,B2B,,Private,,#093943
Ulverscroft,,1,Parent,Retailer,B2B,DTC,Private,,#7C4991
Voxa,,1,Retailer,,DTC,,Private,,#6E2D21
VTech Holdings,,1,Parent,,,,Private,,
Walmart,,1,Retailer,,DTC,,Public,,
WeDoBooks,,1,Parent,,DTC,,Private,,#743E8A
Wheelers,,1,Retailer,,DTC,,Private,,#63281E
Wirtualna Polska Holding,,1,Parent,,,,Private,,#6B3383
WRomance,,1,Parent,,,,Private,,#63277C
XigXag,,1,Retailer,,DTC,,Private,,#58241A
Yoto,,1,Retailer,,DTC,,Private,,#4D1F17
YouScribe,,1,Retailer,,DTC,,Private,,#421B14
