nom,parent,primary-role,secondary-role,engagement-type,sec-engagement-type,public-private,Institutional Focus,node-color
tolino,,Retailer,,,,Private,,#8F3B2B
Transsnet Music Limited,,Parent,,,,Private,,#B498C0
TriPlay,,Parent,,,,Private,,#8C609E
TuneIn,,Retailer,,DTC,,Private,,#843628
Ubook,,Parent,,,,Private,,#845598
UK Book Publishing,,Distributor,,B2B,,Private,,#093943
Ulverscroft,,Parent,Retailer,B2B,DTC,Private,,#7C4991
Voxa,,Retailer,,DTC,,Private,,#6E2D21
VTech Holdings,,Parent,,,,Private,,
Walmart,,Retailer,,DTC,,Public,,
WeDoBooks,,Parent,,DTC,,Private,,#743E8A
Wheelers,,Retailer,,DTC,,Private,,#63281E
Wirtualna Polska Holding,,Parent,,,,Private,,#6B3383
WRomance,,Parent,,,,Private,,#63277C
XigXag,,Retailer,,DTC,,Private,,#58241A
Yoto,,Retailer,,DTC,,Private,,#4D1F17
YouScribe,,Retailer,,DTC,,Private,,#421B14
